# Tx_x Tx_z Rx_x Rx_z travel_time
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+01 5.672576854266530438e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 3.000000000000000000e+01 5.581634870233909834e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 4.000000000000000000e+01 5.531846738439639977e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 5.499806562585290298e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 6.000000000000000000e+01 5.507224365767752344e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 7.000000000000000000e+01 5.529382075908306771e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 8.000000000000000000e+01 5.575405548406195400e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 9.000000000000000000e+01 5.662628842951268615e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+02 5.792208953870016386e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.100000000000000000e+02 5.935119276193808607e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.200000000000000000e+02 6.093413564787403952e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.300000000000000000e+02 6.278730087040254593e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.400000000000000000e+02 6.484372251390782549e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.500000000000000000e+02 6.717444313816367529e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.600000000000000000e+02 6.951426522545856024e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.700000000000000000e+02 7.223515768008320626e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.800000000000000000e+02 7.485725368876131047e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.900000000000000000e+02 7.777813267472082071e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+02 8.086095776843707505e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.100000000000000000e+02 8.399023894017920711e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.200000000000000000e+02 8.740050633908810762e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.300000000000000000e+02 9.076184041606127906e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.400000000000000000e+02 9.449063127451043376e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.500000000000000000e+02 9.804941819039392215e-02
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.600000000000000000e+02 1.016408485536108575e-01
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.700000000000000000e+02 1.054581983963011338e-01
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.800000000000000000e+02 1.092132079282561175e-01
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 2.900000000000000000e+02 1.130281902707543640e-01
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+01 5.878476281549990801e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+01 5.735097253961889130e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 3.000000000000000000e+01 5.618472422594478211e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 4.000000000000000000e+01 5.538041234982083588e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 5.491644008244549180e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 6.000000000000000000e+01 5.447210904975544055e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 7.000000000000000000e+01 5.458303251434754727e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 8.000000000000000000e+01 5.498490348028210045e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 9.000000000000000000e+01 5.560437739895885551e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+02 5.660193307498421339e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.100000000000000000e+02 5.786895701980378920e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.200000000000000000e+02 5.925336598270537769e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.300000000000000000e+02 6.093901229901334260e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.400000000000000000e+02 6.288295666801288486e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.500000000000000000e+02 6.506878955089548389e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.600000000000000000e+02 6.733469679766564131e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.700000000000000000e+02 6.987059738881409854e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.800000000000000000e+02 7.248266129578254113e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 1.900000000000000000e+02 7.519697844107363360e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+02 7.814435646195971863e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.100000000000000000e+02 8.136678005653535939e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.200000000000000000e+02 8.464091967617003165e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.300000000000000000e+02 8.799998193096594812e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.400000000000000000e+02 9.149823572408309624e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.500000000000000000e+02 9.519060407262669443e-02
5.000000000000000000e+00 6.000000000000000000e+01 1.450000000000000000e+02 2.600000000000000000e+02 9.881686630323931186e-02
